datasource	domain	setid	srclang	trglang	src	ref1	ref2	ref3
cwmt2008	ce-news	zh_en_news_trans	zh	en	狭小的防震棚已经成为北川擂鼓镇农民张秀华（58岁）临时的家，而就在这个“家”的中央，悬挂了一幅镶有精美画框的画像。	A small narrow anti-earthquake tent became the temporary home of Zhang Xiuhua, a 58-year-old villager from Leigu, Beichuan. At the center of this "home" a portrait framed exquisitely was hung.	The shockproof shed has become a temporary home for Zhang Xiuhua, 58 years old, who came from Leigu Town, Beichuan. A picture with a fine frame was hung right in the center of this "home".	The narrow quakeproof shelter has become the temporary home of Zhang Xiuhua (58 years old), a farmer in Leigu Township, Beichuan. In the center of the very "home" is hung a figure with delicate frame.
cwmt2008	ce-news	zh_en_news_trans	zh	en	画像中，中共中央总书记胡锦涛和国务院总理温家宝两人在绵阳机场紧紧握手，画像下有一行题字：“伟大的握手、民族的凝聚”。	In this portrait, Hu Jintao, the General Secretary of the CPC Central Committee, and Wen Jiabao, the Premier, shook hand tightly in Mianyang Airport; below the portrait characters of "A Great Handshake, A United Nation" were inscribed .	The picture showed General Secretary of the Communist Party of China Central Committee Hu Jintao and Chinese Premier Wen Jiabao shook hands firmly at the Mianyang Airport. A line of words below the picture reads: Great handshake, National Unity.	Hu Jintao, the general secretary of the CPC Central Committee, and Wen Jiabao, the premier of the State Council, are closely shaking hands in Mianyang Airport in the figure, at the bottom of which is a line of inscription: "Great handshake, national agglomeration".
cwmt2008	ce-news	zh_en_news_trans	zh	en	5月16日，四川汶川大地震发生后的第四天，胡锦涛从北京飞抵四川绵竹机场，亲自指挥抗震救灾。	On May 16th, four days after the Wenchuan earthquake in Sichuan Province, Hu Jintao flew from Beijing to Mianyang Airport in Sichuan to lead the earthquake relief in person.	On May 16, the fourth day after the Wenchuan Earthquake in Sichuan Province, Hu Jintao took a flight directly from Beijing to Mianzhu Airport in Sichuan to direct the earthquake relief efforts personally.	On May 16, the 4th day following Sichuan Wenchuan massive earthquake, President Hu Jintao flew to Sichuan Mianzhu Airport from Beijing and instructed the earthquake rescue in person.
cwmt2008	ce-news	zh_en_news_trans	zh	en	地震后当天就飞到灾区指挥的温家宝到机场迎接，两人一见面，就在飞机前握手致意。	Wen Jiabao, who flew to the disaster area same day as the earthquake, waited at the airport; when the two met, they greeted one another with handshakes in front of the airplane.	Wen Jiabao, who has arrived at the disaster area right after the earthquake to direct disaster relief efforts, welcomed Hu in person at the airport. As soon as they met, they shook hands and gave regards to each other right in front of the plane.	Wen Jiabao, who flew to the quake-hit areas and conducted the rescue on the very day the quake happened, received President Hu Jintao at the airport. The two shook hands and made greetings with each other at the airport.
cwmt2008	ce-news	zh_en_news_trans	zh	en	张秀华家挂的胡、温画像是经过电脑处理，原来画面的其他人员已经被掩盖，只有两个人握手的画面。	The portrait of Hu and Wen hung in Zhang Xiuhua's home has been processed by the computer; the other officials present were edited out to show only the two shaking hands.	The portrait of Hu and Wen hung in Zhang Xiuhua's home have been processed by computer. The other people in the picture have been covered, except the two of them shaking hands.	The figure of President Hu and Premier Wen hung in Zhang Xiuhua's home has been processed by computer, in which, the original other people in the figure have been hidden, and only the handshaking scene of the two is remained.
cwmt2008	ce-news	zh_en_news_trans	zh	en	张秀华日前在家里接受本报访问时说，地震后不久，有位自称是来自山西的自愿者，开着面包车来到擂鼓镇救灾。	Zhang Xiuhua said during his interview with our newspaper that a volunteer from Shanxi Province drove a van to Leigu to help with the disaster relief not long after the earthquake took place.	During our interview, Zhang Xiuhua said, "Not long after the earthquake, a volunteer who claimed to be from Shanxi drove to Leigu Town for disaster relief."	The other day Zhang Xiuhua said in the interview of the Newspaper at home that a volunteer, who said he came from Shanxi, drove a minibus to Leigu Township for rescue.
cwmt2008	ce-news	zh_en_news_trans	zh	en	“他来的时候，车里装满了画像，沿着我们村子免费发放。这次大地震当天，温总理就来到灾区看望我们，很快胡总书记也来看我们，他们给了我们很大的安慰。我拿到画像就立即挂在家里最明显的地方。”	"When he came, his van was filled with portraits, and he distributed them to our village for free. Premier Wen came to visit us in disaster areas on the same day the earthquake took place, and Secretary Hu came as well; they brought us great comfort. When I received the portrait, I immediately hung it up in the most obvious place in my home."	"When he came, his car was loaded with these pictures. He distributed them for free along our villages. On the day of the earthquake, Premier Wen came to visit us, and soon after General Secretary Hu also came. They were a great consolation to us. The moment I received a copy of the picture, I hung it at the most prominent place in my home immediately."	"When he came, his minibus was loaded with figures, which were distributed along our village without any charge. On the very day when the massive earthquake happened, Premier Wen arrived at the quake-hit areas and visited us. Following that, General Secretary Hu also came to see us. Both of them brought us great comfort. The figure was put on the most striking place in my home as soon as I got it."
cwmt2008	ce-news	zh_en_news_trans	zh	en	在擂鼓镇沿公路的帐篷里，几乎每家都挂了这幅画像。	This portrait was hung in almost all families living in the tents along the road in Leigu town.	In the tents along the roads of Leigu Town, almost every family hung this picture.	The figure has been almost hung by every home in the tents along the highway of Leigu Township.
cwmt2008	ce-news	zh_en_news_trans	zh	en	沿街的店铺，甚至把画像悬挂在店铺外面的墙壁上，让所有经过的人看到。	For shops along the road, the portrait was even hung on the wall outside of the shop so that people passing by could all see it.	The shops along the street even had the pictures hung outside their wall to let all passersby to see.	The stores in the street even put the figure on the external wall so that every passerby can see it.
cwmt2008	ce-news	zh_en_news_trans	zh	en	陈兴贵是个退伍军人，在擂鼓镇经营一家杂货店，他的两层楼店屋墙壁在地震中开裂，再也无法居住，他和家人就住在店前的帐篷里。	Chen Xinggui was a veteran and ran a grocery store in Leigu. The earthquake cracked the walls of his two-floor shop, making the shop no longer safe for living. So he and his family moved into a tent in front of the shop.	Chen Xinggui, a retired soldier who runs a grocery store in Leigu Town, could not live in his own shophouse as the walls of his two-floor shophouse cracked during the earthquake. Now, he and his family are living in the tent in front of his store.	Chen Xinggui is a veteran and runs a grocery store in Leigu Township. Since the wall of his two-storey store is cracked in the earthquake and they cannot live in it, he and his family live in the tent in front of the store.
