datasource	domain	setid	srclang	trglang	src	ref1	ref2	ref3
cwmt2011	ec-news	en_zh_news_trans_current	en	zh	These 8 tips could help make your home environment more thinning	这八个小技巧可以帮你把家庭环境打造得更利于瘦身	8条让你的家庭环境更有利于瘦身的小窍门	这8个妙招有助于让你的家居环境更有利于瘦身
cwmt2011	ec-news	en_zh_news_trans_current	en	zh	Your house may be a threat to your figure.	你的家居可能会威胁到你的身材。	你的家居可能威胁到你的身材。	你的家居环境也许会给你的身材造成威胁。
cwmt2011	ec-news	en_zh_news_trans_current	en	zh	Add it to the list, cushioned between those extra slices of pizza and forgetting to work out--because experts say the way you design and maintain your home could play a role in whether you pack on the pounds or keep them off.	将这一条添到清单上去,减轻那些多吃的比萨和忘记去锻炼的后果,因为专家说你设计和维护家居的方式对于你体重增加了几磅或保持不变发挥作用。	把这条加到单子上去,坐在那些还未消灭的比萨中间,将健身抛在脑后——因为专家说我们设计和保持家的方式对于我们是会增重还是瘦身起着作用。	把这一点纳入清单中,被多余的比萨包围并将健身抛在脑后——因为专家说你设计并维持家居环境的方式可能在你到底是增重还是减重中发挥着作用。
cwmt2011	ec-news	en_zh_news_trans_current	en	zh	"You can make your environment work for you instead of against you," says Dawn Jackson Blatner, dietitian and author of The Flexitarian Diet.	“你可以让你的环境为你工作,而不是与你为敌,”《弹性素食者饮食》一书的作者营养学家道恩•杰克逊•布拉特纳说。	《弹性素食饮食法》的营养学家和作者道恩•杰克逊•布拉特纳说,“你可以使你生活的环境帮助你而不是与你作对。”	“你可以让你的环境为你服务,而不是与你为敌”,营养学家、《弹性素食饮食法》的作者道恩•杰克逊•布拉特纳说道。
cwmt2011	ec-news	en_zh_news_trans_current	en	zh	"There are ways to use your house to successfully watch your weight, rather than relying solely on willpower."	“有很多方法可以让你利用家居来成功地控制体重,而不是仅仅依靠毅力。”	“你可以让你的房子成功地监视你的体重,而不是仅仅依靠你的毅力。”	“有许多方法能让你的家来成功监督你的体重,而不是让你仅仅依靠意志力。”
cwmt2011	ec-news	en_zh_news_trans_current	en	zh	Continue to the next slide to see the 8 ways to turn your home into part of your diet plan.	继续下一张幻灯片,看看这八个小技巧是如何将你的家变成你的节食计划的一部分。	继续翻到下一张去看使你的家变成你的饮食计划的一部分的八种方法。	继续翻到下一页幻灯片去看看让你的家成为你节食计划一部分的8种方法。
cwmt2011	ec-news	en_zh_news_trans_current	en	zh	Open the drapes and turn up the lights	拉开窗帘并打开灯。	拉开窗帘,打开灯光	打开窗帘,把灯光打开
cwmt2011	ec-news	en_zh_news_trans_current	en	zh	Dark environments are more likely to foster binge eating, say researchers at the University of California--Irvine.	加州大学欧文分校的研究人员说,黑暗的环境更容易培养无节制的饮食习惯。	加州大学欧文分校的研究人员说黑暗的环境更容易养成暴饮暴食的习惯。	加州大学欧文分校的研究人员说,黑暗的环境更容易诱发暴饮暴食。
cwmt2011	ec-news	en_zh_news_trans_current	en	zh	That's because people are often less inhibited and less self-conscious when they're in dimly lit places--and so more likely to inhale heaps of food with the flair of a speed eater.	那是因为当人们在光线昏暗的地方时,通常自制能力和自我意识会更弱-因此更有可能像大胃王一样狼吞虎咽地吞食大量食物。	因为当身处一个昏暗的环境中,人们通常会减少节制和自觉。因此在他们本能的“大胃”催动下,更可能去吃掉大量的食物。	这是因为在光线较为昏暗的地方,人们通常会减少节制和自觉——因此在进食速度较快这一天赋的作用下更有可能吃进大量食物。
cwmt2011	ec-news	en_zh_news_trans_current	en	zh	The researchers describe darkness as a "high-risk environment," so if your home doesn't emphasize window light, invest in some decorative lamps and flood the place with brightness.	研究人员将黑暗描述为“高风险环境”,因此如果你家没有加强窗户采光的话,那么就花钱买些装饰性灯具来让室内变得很明亮。	研究人员把黑暗形容为“高风险的环境,”因此,如果你的家里没有足够的光亮,记得增加一些装饰性的照明灯,让你的房间充满明亮。	这些研究者将黑暗形容为一种“高度危险的环境”,因此如果你的家并没有突出窗口处的光线,那就买一些装饰性的灯具让空间里充满光亮。
